1, 2
5, 1
2, 3
3, 4
4, 7
8, 5
7, 9
11, 8
9, 12
14, 11
12, 15
17, 14
15, 18
20, 17
18, 21
23, 20
21, 24
26, 23
24, 27
29, 26
27, 30
32, 29
30, 33
35, 32
33, 36
38, 35
36, 39
41, 38
39, 42
43, 41
42, 45
51, 43
45, 46
46, 54
48, 47
47, 55
49, 48
50, 49
57, 50
52, 51
59, 52
54, 62
55, 63
64, 57
60, 59
66, 60
62, 69
63, 70
71, 64
73, 66
69, 76
70, 77
78, 71
74, 73
80, 74
76, 82
77, 84
85, 78
86, 80
82, 90
84, 92
93, 85
87, 86
88, 87
95, 88
90, 100
92, 96
102, 93
98, 95
96, 97
97, 98
100, 107
109, 102
107, 111
114, 109
111, 112
112, 118
115, 114
117, 115
121, 117
118, 122
125, 121
122, 127
126, 125
130, 126
127, 131
133, 130
131, 137
134, 133
135, 134
139, 135
137, 142
140, 139
143, 140
142, 145
147, 143
145, 148
149, 147
148, 151
152, 149
151, 154
155, 152
154, 157
158, 155
157, 160
161, 158
160, 163
164, 161
163, 166
167, 164
166, 169
170, 167
169, 172
173, 170
172, 175
176, 173
175, 178
179, 176
178, 181
185, 179
181, 186
182, 183
187, 182
183, 185
186, 189
190, 187
189, 191
192, 190
191, 192
